practice_code,gpps_overall_pct,gpps_contact_pct,gpps_responses
Y03079,71.3,68.3,112
Y03366,75.7,70.5,39
P83001,73.4,74.2,104
P83004,72.2,59.6,57
P83005,71.7,81.2,35
P83006,65.3,59.0,55
P83007,87.5,83.1,94
P83009,79.0,73.4,64
P83010,63.9,63.7,24
P83011,83.5,79.3,63
P83012,66.9,70.0,330
P83015,70.2,67.7,55
P83017,60.5,66.9,43
P83021,80.2,73.5,80
P83024,78.7,66.4,36
P83025,68.3,67.2,52
P83027,76.9,78.8,15
P83603,66.6,54.0,65
P83605,58.9,55.9,44
P83608,71.2,66.9,48
P83609,89.7,85.7,36
P83611,76.3,69.9,32
P83612,73.2,68.1,41
P83620,91.8,86.7,53
P83621,76.0,75.5,23
P83623,67.1,69.4,33
Y02755,55.0,52.5,49
P81010,95.7,96.1,57
P81033,79.8,76.9,67
P81038,71.9,66.2,72
P81044,81.6,77.0,141
P81057,89.3,72.4,132
P81062,88.1,82.6,71
P81076,81.3,84.3,90
P81082,81.0,79.8,92
P81083,80.1,69.6,73
P81117,81.1,86.3,46
P81127,77.0,72.0,74
P81143,87.1,84.6,105
P81154,90.5,84.6,77
P81171,95.6,89.3,47
P81180,74.0,70.4,25
P81181,97.4,91.9,53
P81186,75.1,64.0,36
P81655,87.6,89.8,96
P81687,91.0,92.8,20
P81692,74.1,88.8,16
P81701,82.5,79.3,26
P81740,71.5,63.4,82
P81741,72.0,70.0,17
Y00347,97.2,95.9,56
Y02466,74.8,71.6,85
P85002,85.9,76.2,57
P85003,63.2,63.3,35
P85004,88.7,84.9,53
P85005,95.1,92.3,94
P85007,76.6,80.6,30
P85010,69.6,60.7,100
P85011,88.4,75.8,111
P85012,79.1,70.9,43
P85013,67.5,68.3,149
P85014,76.5,67.9,49
P85015,74.1,67.6,52
P85016,69.0,63.8,103
P85017,79.1,74.1,77
P85018,76.2,70.4,33
P85019,72.1,71.9,49
P85020,51.2,49.9,36
P85021,60.9,45.1,57
P85022,58.2,58.9,29
P85026,65.3,63.5,107
P85601,73.8,63.3,22
P85605,82.2,85.5,59
P85606,91.0,94.8,58
P85608,86.8,77.3,22
P85610,75.3,69.5,59
P85612,65.9,52.9,25
P85614,75.0,72.2,36
P85615,64.4,70.5,70
P85622,59.0,50.5,57
P89006,90.1,78.1,107
Y02753,81.8,61.2,44
Y02827,80.2,63.4,38
Y02875,72.6,56.6,32
Y02933,81.7,82.0,65
P81003,81.9,67.0,76
P81008,79.4,82.3,59
P81017,87.6,82.5,137
P81020,61.7,46.6,152
P81025,58.8,46.4,76
P81027,79.6,82.6,122
P81032,77.0,65.0,109
P81035,70.2,74.6,55
P81036,78.3,72.1,141
P81047,79.5,61.4,131
P81053,72.5,72.7,61
P81065,59.2,57.2,92
P81069,79.3,78.9,98
P81070,79.3,69.9,64
P81078,77.4,73.0,97
P81088,79.3,70.9,56
P81095,68.8,55.2,58
P81099,88.4,87.7,98
P81100,92.4,88.3,148
P81118,82.3,82.9,81
P81123,47.0,32.5,59
P81130,72.4,64.2,102
P81132,81.2,76.3,79
P81137,73.9,69.2,51
P81147,71.0,69.9,36
P81160,74.6,61.5,116
P81165,65.9,63.6,18
P81166,64.1,61.5,15
P81170,65.1,49.2,65
P81182,50.5,43.4,31
P81197,64.4,67.5,32
P81212,90.7,88.8,57
P81218,65.5,57.7,40
P81620,98.8,98.7,16
P81686,80.4,88.8,20
P81699,78.7,80.8,19
P81711,,,-97
P81726,65.5,67.5,10
P81730,77.5,76.7,72
P81731,61.8,54.8,16
P81732,80.4,88.5,39
P81736,79.9,71.8,31
P81755,58.5,56.2,52
P81757,89.3,84.0,34
P81780,66.9,55.1,36
Y02605,61.0,49.1,21
Y02606,74.0,67.4,43
P86001,95.4,92.1,80
P86002,96.2,89.2,18
P86003,76.1,69.0,85
P86004,75.4,67.2,68
P86005,80.8,73.8,50
P86006,84.4,75.8,142
P86007,76.7,68.0,104
P86008,75.7,62.4,75
P86009,79.9,69.9,83
P86010,82.4,80.9,70
P86011,77.2,75.9,67
P86012,71.9,64.4,62
P86013,73.4,70.4,45
P86014,44.9,41.0,34
P86015,86.7,70.8,52
P86016,66.7,63.9,58
P86017,63.9,46.7,28
P86018,87.3,87.8,78
P86019,83.7,82.7,85
P86021,90.3,90.9,35
P86022,90.4,80.0,83
P86023,87.7,87.0,83
P86026,76.2,74.1,58
P86602,81.7,86.8,28
P86606,88.1,89.0,36
P86608,94.0,84.0,42
P86609,76.5,76.6,18
P86614,62.4,68.7,28
P86619,67.5,64.3,41
P86620,85.7,79.5,24
P86624,92.6,94.6,42
Y00726,88.9,80.2,48
Y02718,91.8,87.6,40
Y02720,91.7,85.4,38
Y02721,86.0,91.6,38
Y02795,81.2,75.1,40
P81015,91.5,84.5,126
P81018,79.9,78.0,68
P81040,84.6,81.5,94
P81046,74.5,76.3,51
P81055,94.9,95.3,142
P81067,68.6,67.6,89
P81071,86.6,83.4,60
P81103,70.8,60.3,83
P81107,85.2,68.9,72
P81119,81.5,82.8,88
P81169,85.5,85.4,60
P81179,83.2,79.9,56
P81184,82.7,84.4,72
P81185,74.3,66.8,84
P81196,82.7,77.6,291
P81213,79.6,85.1,152
P81647,77.8,76.2,34
P81664,72.7,71.6,130
P81685,73.4,72.2,32
P81735,67.3,66.6,21
P81748,76.3,75.1,58
P81770,67.6,68.5,51
N81011,74.7,52.3,112
N81019,82.8,82.9,125
N81035,71.3,60.2,91
N81037,73.9,67.7,63
N81045,67.2,59.1,97
N81054,67.3,74.7,62
N81057,65.5,70.9,89
N81064,64.8,60.1,46
N81066,72.4,65.9,110
N81072,59.4,62.3,48
N81096,78.9,74.0,71
N81119,72.9,75.7,37
N81619,71.7,78.8,27
N81651,76.5,62.9,27
P87002,83.8,81.1,100
P87004,78.9,79.0,127
P87008,63.4,68.1,57
P87015,72.8,67.7,60
P87016,83.9,78.9,118
P87017,81.8,88.5,42
P87019,87.5,82.9,113
P87020,92.2,87.4,149
P87022,81.2,85.6,19
P87024,83.7,79.0,97
P87025,88.0,85.2,90
P87026,82.7,80.2,108
P87027,79.0,74.9,164
P87028,88.1,86.5,85
P87032,87.7,91.0,57
P87035,81.5,81.9,101
P87040,83.0,72.4,74
P87610,75.6,68.9,97
P87613,84.5,77.1,37
P87620,71.8,63.1,69
P87624,85.2,78.1,43
P87625,83.7,79.2,22
P87627,79.4,87.0,27
P87630,86.3,85.3,26
P87634,80.5,77.7,92
P87639,87.3,81.7,38
P87648,76.8,59.1,41
P87649,89.5,82.5,56
P87654,77.4,75.7,89
P87657,88.5,93.6,38
P87658,77.6,78.9,28
P87661,83.3,89.6,18
Y00445,73.6,69.5,137
Y02622,75.1,71.5,138
Y02625,77.8,,2
Y02767,76.3,74.4,48
A82004,89.4,92.1,22
A82006,90.7,91.6,50
A82012,76.0,68.7,137
A82013,84.3,85.9,59
A82014,93.1,97.9,44
A82015,62.7,56.2,87
A82016,80.2,75.9,334
A82018,89.4,88.3,127
A82020,56.6,56.1,88
A82021,73.7,70.4,144
A82022,74.0,77.2,40
A82023,87.4,81.3,59
A82024,84.9,80.7,54
A82028,78.9,78.6,72
A82029,91.8,89.7,35
A82031,97.6,93.2,35
A82032,62.0,59.8,89
A82035,82.4,73.8,128
A82036,82.9,79.6,100
A82037,91.8,87.6,44
A82038,82.6,84.8,40
A82041,70.6,54.0,103
A82044,68.2,68.2,163
A82045,77.1,78.5,73
A82047,65.8,57.1,227
A82055,96.2,93.4,73
A82064,82.5,74.6,55
A82075,87.8,82.5,70
A82617,87.3,86.2,26
A82620,100.0,97.9,10
A82631,82.5,80.9,33
A82646,85.2,84.2,34
A82654,80.8,87.2,66
N83009,80.2,68.3,98
N83013,92.9,85.4,46
N83014,73.4,67.7,77
N83018,73.6,55.4,65
N83024,69.0,67.4,56
N83025,75.6,61.6,109
N83028,63.3,56.4,140
N83030,84.5,79.9,45
N83031,66.5,55.5,19
N83032,86.7,81.7,105
N83033,71.0,64.1,41
N83043,83.1,77.6,34
N83047,93.3,92.4,51
N83601,83.6,81.0,64
N83603,86.2,85.6,66
N83605,77.2,62.4,48
N83608,58.4,32.7,91
N83609,89.7,80.9,43
N83610,82.1,87.2,20
N83619,95.9,91.7,49
N83621,78.5,67.4,23
N83622,83.3,75.3,21
N83633,89.6,92.6,35
A82003,83.4,85.4,107
A82005,90.6,90.5,59
A82007,76.8,68.7,91
A82008,66.2,56.1,84
A82009,72.6,67.4,69
A82010,87.9,87.2,63
A82025,95.2,93.1,118
A82026,75.6,78.2,139
A82027,88.2,85.6,95
A82030,94.5,95.0,66
A82033,86.3,78.6,72
A82039,81.7,74.7,75
A82046,96.6,94.5,51
A82053,93.7,92.1,78
A82062,86.0,76.9,56
A82068,89.2,75.5,45
A82070,90.1,89.9,66
A82071,84.3,80.0,37
A82072,59.1,58.6,45
A82608,93.3,94.6,44
A82613,95.2,94.7,10
A82629,61.9,60.0,20
A82647,96.0,96.0,35
A82650,95.2,95.7,31
A82651,84.6,84.2,45
B82061,92.1,92.2,74
P81002,83.0,76.9,575
P81013,75.1,70.1,125
P81029,82.5,80.0,214
P81113,85.1,80.4,69
Y01008,77.2,74.1,431
N84001,85.9,81.2,81
N84002,78.0,80.1,20
N84003,74.3,64.8,81
N84004,60.6,51.3,47
N84007,92.5,89.7,60
N84010,83.1,78.8,49
N84011,85.8,70.4,60
N84015,82.7,65.7,50
N84016,64.7,55.2,38
N84019,53.4,46.9,35
N84020,85.7,76.5,95
N84023,73.1,74.0,59
N84025,78.7,68.0,83
N84027,68.6,69.1,39
N84028,83.3,81.1,65
N84029,58.9,54.0,34
N84034,82.0,65.8,64
N84035,46.1,47.7,18
N84038,81.0,67.8,49
N84041,83.0,76.0,51
N84605,50.5,45.4,42
N84615,74.4,78.5,26
N84621,48.2,38.2,40
N84626,55.6,40.7,11
Y00446,66.4,52.5,22
N84005,80.2,74.3,104
N84006,83.1,78.7,104
N84008,78.0,65.5,80
N84012,91.3,78.7,112
N84013,82.3,83.7,94
N84014,85.8,88.7,34
N84017,78.2,69.4,78
N84018,87.3,78.4,137
N84021,61.5,51.6,106
N84024,97.3,89.0,101
N84613,93.4,87.8,45
N84614,91.8,83.5,32
N84617,77.9,85.5,41
N84625,78.3,79.3,47
P88002,96.2,91.8,64
P88003,97.2,95.8,97
P88005,81.6,69.8,96
P88006,91.0,94.8,107
P88007,90.9,90.5,135
P88008,85.1,82.7,75
P88009,79.5,81.0,26
P88011,87.4,82.4,95
P88012,91.9,83.1,76
P88013,89.0,84.7,116
P88014,91.8,88.3,46
P88015,88.8,89.0,113
P88016,70.6,68.0,99
P88017,89.6,86.6,62
P88018,75.5,67.4,77
P88019,81.5,74.1,45
P88020,78.8,71.5,93
P88021,90.1,91.3,65
P88023,78.1,73.9,58
P88024,87.1,83.8,89
P88025,92.7,83.9,100
P88026,75.8,67.9,417
P88031,93.7,93.4,56
P88041,94.5,91.0,80
P88042,85.4,80.8,59
P88043,86.3,84.1,79
P88044,93.8,92.3,52
P88606,89.9,89.3,52
P88615,92.3,93.3,33
P88623,98.7,98.2,79
P88625,88.7,84.6,73
P88632,75.7,67.5,137
N83001,78.6,71.1,116
N83002,78.5,81.3,95
N83003,88.3,86.3,67
N83005,73.4,73.4,66
N83006,79.2,76.6,28
N83007,90.5,93.8,30
N83008,75.3,54.1,62
N83010,89.6,92.2,66
N83012,86.7,84.2,94
N83017,95.2,94.7,62
N83019,92.8,81.2,76
N83020,63.4,49.8,116
N83021,70.0,66.8,56
N83023,64.9,71.9,78
N83026,93.1,85.1,26
N83027,77.7,74.4,53
N83035,80.4,73.5,60
N83041,96.9,91.3,49
N83045,62.6,47.8,62
N83049,97.7,95.8,44
N83050,67.1,55.8,33
N83053,82.0,74.0,77
N83054,86.5,81.9,37
N83614,87.7,84.7,54
N83620,93.0,86.9,35
N83637,84.5,83.9,29
Y00475,78.4,78.9,43
Y02510,78.1,67.0,53
P89002,64.4,71.0,130
P89003,52.5,44.5,53
P89004,93.0,89.5,62
P89005,89.3,87.7,75
P89007,86.4,87.8,70
P89008,69.1,60.9,122
P89010,80.8,67.4,64
P89011,49.7,47.1,25
P89012,75.6,76.2,53
P89013,49.6,46.2,23
P89014,78.6,72.2,100
P89015,67.7,59.5,148
P89016,79.4,76.9,66
P89018,68.5,62.4,58
P89020,76.6,70.1,57
P89021,75.5,73.4,85
P89022,89.8,86.0,30
P89023,93.8,89.9,58
P89025,87.0,84.4,26
P89026,89.7,92.5,60
P89029,82.8,78.1,64
P89030,80.6,67.3,33
P89602,75.9,66.1,30
P89609,84.9,87.9,40
P89612,81.9,76.5,19
P89613,72.2,79.1,25
P89618,75.6,73.7,23
Y02586,63.3,49.6,29
Y02663,69.5,65.2,27
Y02713,60.5,59.0,26
Y02936,83.0,75.0,27
P91003,82.9,76.9,67
P91004,82.9,75.8,70
P91006,80.2,81.8,109
P91007,95.9,96.2,61
P91008,87.1,73.7,56
P91009,86.7,78.6,97
P91011,91.5,89.9,51
P91012,83.2,87.0,65
P91013,90.4,91.8,103
P91014,87.5,84.4,143
P91016,71.3,61.3,65
P91017,82.9,88.7,70
P91018,70.5,70.0,104
P91019,63.3,63.9,23
P91020,74.3,69.5,67
P91021,78.2,79.5,122
P91026,78.3,73.1,50
P91029,80.7,75.8,98
P91035,85.9,90.5,114
P91603,81.3,73.3,62
P91604,88.4,79.1,149
P91617,89.6,94.7,21
P91623,95.2,94.3,74
P91627,82.1,76.5,71
P91629,77.5,63.8,119
P91631,95.5,100.0,34
N81007,81.0,76.6,87
N81012,84.1,73.6,104
N81014,83.9,75.2,81
N81020,77.2,66.3,104
N81028,77.3,74.2,72
N81036,84.1,84.0,74
N81041,73.5,64.4,67
N81048,68.0,62.6,89
N81056,70.2,52.9,69
N81059,80.9,79.0,105
N81065,64.5,67.2,51
N81075,73.9,67.1,129
N81083,72.7,75.9,37
N81089,63.6,63.4,54
N81097,76.5,88.8,37
N81107,86.2,90.7,32
N81108,55.1,56.6,61
N81109,77.8,83.5,56
N81114,72.1,61.1,79
N81122,67.8,56.3,75
N81623,62.1,60.0,60
N81628,82.3,83.5,102
N81637,80.9,85.9,25
N81645,58.6,49.7,13
Y01108,77.1,76.7,31
Y04925,55.7,53.4,43
Y06620,,,-97
P81014,80.7,73.8,83
P81039,88.1,82.9,49
P81041,71.9,76.6,73
P81045,90.7,85.4,46
P81084,94.7,84.8,83
P81096,95.9,91.6,72
P81112,64.8,71.7,111
P81136,85.9,83.5,27
P81138,84.8,84.5,29
P81201,75.4,72.9,46
P81208,67.9,68.9,124
P81646,69.2,75.5,30
P81674,89.0,85.2,54
P81695,92.8,86.3,62
P81710,82.2,76.8,88
P92001,80.2,83.5,48
P92002,75.9,68.6,42
P92003,89.6,87.5,89
P92004,66.3,75.5,50
P92005,99.3,98.1,45
P92006,90.5,91.3,57
P92007,81.2,80.5,53
P92008,75.5,66.6,69
P92010,80.2,75.4,97
P92011,84.2,85.8,71
P92012,89.0,86.5,42
P92014,60.7,59.1,83
P92015,83.7,79.1,54
P92016,86.1,82.5,172
P92017,90.4,85.3,128
P92019,97.3,90.4,100
P92020,89.4,88.6,46
P92021,92.5,89.6,57
P92023,75.9,79.2,71
P92024,87.7,81.7,46
P92026,79.3,78.4,60
P92028,86.1,84.6,42
P92029,61.8,56.3,27
P92030,94.7,93.9,44
P92031,90.9,93.7,42
P92033,78.4,77.8,39
P92034,95.2,90.1,57
P92038,88.6,88.7,29
P92041,67.9,71.1,59
P92042,85.1,77.3,80
P92602,85.1,89.6,21
P92605,68.3,59.4,55
P92607,90.4,94.1,74
P92615,90.5,85.0,45
P92620,77.9,73.6,61
P92621,91.7,86.6,41
P92626,91.6,91.1,59
P92630,61.5,60.2,18
P92633,80.9,81.6,29
P92634,95.8,91.2,47
P92635,73.7,72.6,16
P92637,88.5,82.7,36
P92639,77.7,81.3,25
P92642,91.3,83.6,51
P92646,82.5,85.3,30
P92647,96.2,95.0,64
P92648,84.6,86.0,49
P92651,81.0,78.2,47
Y00050,76.8,81.7,53
Y02274,69.5,65.3,25
Y02321,86.0,83.3,46
Y02322,70.1,71.4,64
Y02378,84.5,86.4,56
Y02885,83.6,86.3,32
Y02886,74.6,69.8,33
Y07697,,,-97
P81006,89.7,83.4,195
P81031,63.3,58.5,47
P81037,75.5,73.1,104
P81059,59.6,57.3,49
P81077,70.8,58.4,84
P81079,88.5,82.0,121
P81086,66.6,62.6,65
P81087,80.5,71.0,101
P81089,86.7,76.4,111
P81128,74.3,75.8,76
P81129,87.0,85.1,108
P81133,91.5,82.4,88
P81149,84.3,84.8,81
P81150,73.2,68.9,96
P81157,72.9,69.9,89
P81191,73.3,81.8,78
P81668,76.8,78.8,50
P81742,86.9,90.5,25
C85001,66.4,59.5,31
C85003,91.1,86.2,121
C85004,83.2,70.1,142
C85005,64.9,49.9,49
C85006,85.7,86.4,50
C85007,74.8,64.2,83
C85008,90.8,70.0,123
C85009,90.2,86.6,67
C85010,78.7,59.0,136
C85013,78.2,71.7,88
C85014,73.5,68.7,73
C85016,77.7,67.0,88
C85017,67.8,61.4,82
C85018,66.9,70.6,48
C85019,79.2,79.5,93
C85020,73.1,64.8,94
C85022,77.8,60.2,104
C85023,53.9,46.9,63
C85024,80.3,65.8,54
C85028,67.7,91.9,27
C85030,75.5,64.9,78
C85033,72.7,73.2,85
C85614,85.0,92.8,39
C85619,80.5,78.1,68
C85622,89.5,83.4,21
C85623,90.3,85.2,51
Y00411,65.1,59.0,76
Y04809,75.1,82.7,18
Y05248,81.1,80.4,27
Y05363,83.1,80.5,25
Y05364,83.6,78.5,29
C84001,47.3,41.9,147
C84008,93.7,93.5,60
C84013,79.3,79.9,131
C84024,66.7,54.7,211
C84035,72.5,64.1,85
C84094,72.7,71.3,176
C84101,71.9,67.2,29
C84692,84.6,87.3,25
Y05346,44.6,47.2,15
B84001,60.7,58.1,63
B84003,77.5,69.8,65
B84004,87.5,90.3,175
B84006,70.1,65.4,117
B84007,92.5,84.7,103
B84008,85.7,76.3,146
B84009,71.9,67.3,86
B84010,46.5,44.7,48
B84011,71.7,67.0,85
B84012,58.2,53.7,165
B84013,82.7,80.8,78
B84014,93.4,93.4,53
B84016,74.5,63.6,87
B84019,71.5,61.0,120
B84021,87.4,72.2,77
B84612,62.8,60.0,57
B84613,74.7,76.9,75
B84618,67.4,71.2,54
B84623,97.6,96.2,50
C86001,75.1,68.2,128
C86002,79.0,63.7,65
C86003,78.6,74.4,78
C86005,54.9,48.8,27
C86006,100.0,93.1,107
C86007,95.3,92.2,176
C86009,80.8,76.4,64
C86011,75.1,66.6,107
C86012,80.8,78.1,47
C86013,60.2,54.4,56
C86015,68.6,62.8,58
C86016,72.4,59.0,68
C86017,74.2,85.8,119
C86018,52.8,53.9,54
C86019,65.6,58.1,110
C86020,73.0,72.7,64
C86021,70.0,65.5,45
C86023,87.0,83.7,122
C86024,89.6,78.4,110
C86025,78.3,72.4,53
C86026,76.6,74.5,38
C86029,69.5,78.5,101
C86032,68.3,71.8,39
C86033,76.9,72.5,39
C86034,65.9,58.8,67
C86037,54.8,61.2,50
C86038,84.1,83.3,81
C86605,74.4,70.0,57
C86609,68.9,55.1,140
C86611,85.4,86.2,59
C86614,72.2,50.6,70
C86616,64.8,66.1,24
C86621,69.7,61.5,32
C86625,71.9,69.4,12
C86626,80.9,73.4,23
Y05167,66.3,63.0,85
B81004,86.0,77.0,117
B81006,50.1,38.5,63
B81009,55.9,56.6,51
B81013,75.3,76.9,70
B81024,81.2,74.3,94
B81025,83.3,79.2,303
B81029,92.1,90.1,115
B81034,91.5,86.3,113
B81037,71.4,65.3,111
B81041,88.1,87.7,58
B81042,75.2,75.2,109
B81051,95.1,89.8,112
B81061,90.2,90.6,452
B81068,72.3,69.9,132
B81069,77.1,81.3,243
B81082,91.5,78.9,63
B81088,76.5,75.3,67
B81092,65.9,57.7,83
B81100,90.5,91.6,40
B81101,75.0,70.6,188
B81619,74.7,68.4,20
B81653,72.9,66.3,58
B81666,97.7,99.5,27
B81008,75.1,65.6,286
B81011,78.1,67.7,83
B81017,56.4,43.7,95
B81018,73.8,72.3,67
B81020,86.7,87.5,76
B81027,68.8,59.4,55
B81032,75.1,74.0,45
B81035,58.6,54.0,43
B81038,75.3,57.5,63
B81040,75.8,72.3,118
B81046,82.0,74.9,72
B81047,73.3,80.7,57
B81048,74.2,67.1,430
B81054,87.0,75.3,75
B81074,61.3,54.9,76
B81075,85.6,84.4,35
B81085,71.8,67.6,263
B81097,54.8,58.0,15
B81104,76.8,76.0,63
B81112,80.4,78.4,106
B81119,68.1,67.4,43
B81616,87.5,99.0,26
B81631,85.8,86.1,40
B81635,78.5,81.1,31
B81645,61.3,50.7,14
B81003,80.6,77.6,109
B81012,90.5,83.1,31
B81015,82.3,85.4,143
B81016,85.2,80.0,86
B81030,83.2,71.6,216
B81031,72.6,75.8,161
B81039,71.3,73.9,255
B81087,87.0,90.5,71
B81091,96.1,91.4,53
B81108,81.5,82.8,38
B81606,70.4,77.5,30
B81642,85.7,86.5,39
B81655,97.7,94.9,32
B81656,77.2,73.0,49
B81663,66.9,66.0,19
B81665,81.0,75.2,20
B81697,97.0,96.9,28
Y01948,73.8,70.4,19
Y02684,83.2,76.8,30
B81005,70.0,79.0,126
B81007,73.0,71.3,78
B81022,78.8,76.6,107
B81026,69.6,57.5,145
B81043,87.5,84.4,141
B81045,75.6,74.9,98
B81063,85.1,80.7,68
B81064,84.5,77.9,91
B81090,79.6,74.0,39
B81099,73.0,63.8,82
B81109,54.4,48.7,132
B81113,92.0,95.3,94
B81118,73.8,62.8,57
B81617,64.5,57.5,61
B81628,98.0,97.1,29
B81647,85.1,80.9,27
B81648,91.5,82.6,16
C87002,66.5,51.0,146
C87003,79.2,65.4,90
C87004,80.0,71.5,99
C87005,84.3,79.4,165
C87006,82.5,88.4,124
C87007,78.2,61.6,97
C87008,85.1,83.8,142
C87009,74.5,70.1,81
C87010,85.2,95.3,39
C87012,72.9,68.0,113
C87013,88.4,87.6,59
C87014,87.5,80.2,79
C87015,78.7,75.3,55
C87016,76.6,71.0,98
C87017,59.9,53.3,79
C87018,86.0,73.1,70
C87020,77.6,84.7,43
C87022,88.1,89.2,75
C87024,77.2,64.9,31
C87029,78.8,80.8,100
C87030,86.8,79.3,86
C87031,85.6,92.3,34
C87603,67.2,61.6,28
C87604,77.6,76.4,48
C87608,72.6,68.5,40
C87616,88.7,79.0,57
C87620,79.1,60.6,57
C87622,82.8,82.7,83
C88005,74.8,75.6,124
C88006,85.8,84.3,49
C88007,72.0,70.2,216
C88008,48.9,42.4,67
C88009,74.9,61.1,46
C88010,70.1,59.3,106
